,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity
,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME
2010-01-25,7.2453498975000015,7.310706975,7.151421420000001,7.243921327500002,367012131.01213104,7.0185644100000015,7.33856409,6.931421640000001,7.29284985,4937132.937132937,8.07,8.14,7.93,8.07,3629000.0,125.88543096,127.11583224,124.80882984,126.885132,1977687.5,74.4833893693968,75.31791028055424,73.66805284700159,74.05174062224641,1986100.0
2010-01-26,7.354992645,7.632492367500001,7.23570705,7.3521355050000015,524722120.7221207,7.135707150000001,7.178564250000001,6.93999306,6.9599930400000005,3625618.6256186254,8.09,8.18,7.94,8.01,3291600.0,125.7316308,128.4231336,125.11643016,125.88543096,2012125.0,73.53376212566592,74.79033958959263,73.14048215604002,73.30354946051905,1933400.0
2010-01-27,7.427849715000002,7.5203496225,7.126421445,7.386064042500001,554571746.5717465,7.281421290000001,7.31142126,6.9942787200000005,7.142850000000001,11127477.127477126,8.19,8.21,7.91,8.01,4701500.0,125.3471304,126.03923112,123.27082824,125.27023032,2347975.0,73.31314165490019,74.04214842786527,72.32514563364481,73.27477287737568,1392500.0
2010-01-28,7.1174928825000014,7.339278375000001,7.096778617500001,7.332849810000001,393446565.4465654,9.00570528,9.12141945,8.67570561,8.811419760000003,28373338.37333837,7.88,8.25,7.71,8.25,5877400.0,124.27052928,126.5006316,123.11702808,126.42373152,2214562.5,74.33950645368,75.56730733446335,71.38511058429505,74.819116172736,2379200.0
2010-01-29,6.861421710000001,7.2210642075,6.794993205,7.190349952500001,396693644.69364464,8.89284825,9.22284792,8.79284835,8.94570534,9258048.258048257,7.46,8.09,7.3,8.0,6441900.0,123.65532863999998,126.885132,123.57842856,124.96263,2797112.5,75.1452507816941,76.56489555009983,74.7327864233059,75.4905697794144,3449600.0
2010-02-01,6.9546359025000015,6.990707295000001,6.832136025000001,6.877850265000001,223555751.5557516,8.71856271,8.98141959,8.53427718,8.829991170000003,6966112.966112968,7.98,7.98,7.55,7.58,3725300.0,124.96263,125.65473072,123.8091288,124.80882984,1399525.0,76.57448774448095,76.66081749391105,75.78792780522912,76.19079996923617,2211900.0
2010-02-02,6.994993005000001,7.0114215600000005,6.9067788075,6.9974930025000015,199087479.08747908,8.83570545,8.87856255,8.697134160000001,8.70284844,4597590.597590596,7.91,7.96,7.72,7.73,3354300.0,129.5766348,130.34563559999998,124.88572992,125.3471304,4136725.0,77.48574621068737,77.62962912640417,75.97977169285151,76.72796285457888,1832300.0
2010-02-03,7.1153500275,7.14999285,6.9460644825000015,6.976064452500001,188970648.9706489,8.849991150000003,8.98141959,8.761419810000001,8.83570545,3695450.695450695,7.81,7.96,7.76,7.82,2765000.0,128.26933344,130.96083624,127.80793296,129.11523431999998,1983612.5,76.86225357591455,77.81188081964544,76.39223605123969,77.2651257399216,1410900.0
2010-02-04,6.8571360000000015,7.084278630000001,6.842850299999999,7.0303501125000025,268158480.15848008,8.619991380000002,8.89141968,8.589991410000001,8.764276950000001,5514024.514024514,7.19,7.64,7.11,7.62,4950500.0,123.34772832,126.65443175999998,123.11702808,126.57753168,3149875.0,73.32273384928128,75.9605873040893,73.18844312794559,75.73996683332349,2772700.0
2010-02-05,6.9746358825,6.999993000000001,6.8160646125,6.882135975,291713251.7132517,8.691419880000002,8.714277000000001,8.474277240000001,8.59570569,4224105.224105224,7.35,7.37,6.99,7.12,4536000.0,121.42522632,124.50122952,117.272622,123.19392816,3710387.5,73.58172309757151,73.98459526157855,71.25081986295936,73.21721971108896,3439000.0
2010-02-08,6.9328502100000025,7.06713579,6.9285645,6.988564440000001,164058128.05812806,8.6999913,8.815705470000003,8.575705710000001,8.70570558,4014224.014224014,7.42,7.62,7.28,7.41,4297700.0,119.9641248,121.80972672,118.96442376,121.5021264,2162575.0,73.18844312794559,75.37546344684095,72.92945387965536,73.61049968071488,2307500.0
2010-02-09,7.0067787075000005,7.0535643750000006,6.9553501875000014,7.016421555000001,184276528.27652827,8.875705410000002,8.87999112,8.712848430000001,8.722848420000002,2906927.906927907,7.54,7.64,7.43,7.56,2924900.0,119.9641248,122.11732704,118.65682344,121.117626,2661087.5,74.7327864233059,75.67282147265568,73.36110262680576,74.00377965034082,1969800.0
